,Point.Forecast,Lo.80,Hi.80,Lo.95,Hi.95
26.54167,507.9498104,46.89603393,969.0035869,-197.1710924,1213.070713
26.5625,517.5554474,50.3681521,984.7427427,-196.9458629,1232.056758
26.58333,525.9129404,52.56715598,999.2587247,-198.0069662,1249.832847
26.60417,528.3462148,48.81739265,1007.875037,-205.029832,1261.722262
26.625,531.5463434,45.81034485,1017.282342,-211.3227605,1274.415447
26.64583,536.9397468,44.97283215,1028.906661,-215.458721,1289.338215
26.66667,543.6636682,45.4424859,1041.88485,-218.2998765,1305.627213
26.6875,540.5429174,36.04449405,1045.041341,-231.0208391,1312.106674
26.70833,555.6628074,44.86453793,1066.461077,-225.5357323,1336.861347
26.72917,557.7728314,40.65246948,1074.893193,-233.0945143,1348.640177
26.75,561.5480715,38.08372081,1085.012422,-239.0215678,1362.117711
26.77083,564.955458,35.12556346,1094.785353,-245.3494405,1375.260357
26.79167,567.0791846,30.86252414,1103.295845,-252.9934294,1387.151799
26.8125,571.5660887,28.94176539,1114.190412,-258.3062,1401.438377
26.83333,575.8987561,26.84619023,1124.951322,-263.8046812,1415.602193
26.85417,581.2127102,25.71163217,1136.713788,-268.3528754,1430.778296
26.875,588.6975397,26.72798281,1150.667097,-270.7607307,1448.15581
26.89583,601.2390051,32.78129887,1169.696711,-268.1420334,1470.620044
26.91667,613.9992528,39.03401626,1188.964489,-265.3341945,1493.3327
26.9375,616.1346064,34.64274194,1197.626471,-273.1804569,1505.44967
26.95833,657.2851878,69.24787507,1245.322501,-242.0402748,1556.61065
26.97917,675.2058581,80.60454793,1269.807168,-234.1583723,1584.570088
27,673.4880272,72.30443632,1274.671618,-245.9429328,1592.918987
27.02083,658.984171,51.20027647,1266.768066,-270.5410824,1588.509424
27.04167,645.1057562,30.70378991,1259.507723,-294.5409645,1584.752477
27.0625,632.4031613,11.36560512,1253.440717,-317.3918184,1582.198141
27.08333,596.1669347,-31.52348422,1223.857354,-363.8027205,1556.13659
27.10417,566.597561,-67.76275266,1200.957875,-403.572818,1536.76794
27.125,537.6414794,-103.4041278,1178.687087,-442.7531737,1518.036133
27.14583,522.0165877,-125.7276823,1169.760858,-468.6227861,1512.655962
27.16667,519.1946796,-135.260648,1173.650007,-481.7083711,1520.09773
27.1875,517.5394081,-143.6374884,1178.716305,-493.6433952,1528.722211
27.20833,519.2038636,-149.8118867,1188.219614,-503.967432,1542.375159
27.22917,518.0328095,-158.8144631,1194.880082,-517.1157658,1553.181385
27.25,520.4785854,-164.1421074,1205.099278,-526.5584103,1567.515581
27.27083,525.524097,-166.7186665,1217.76686,-533.1698499,1584.218044
27.29167,530.8349476,-168.9167703,1230.586666,-539.342954,1601.012849
27.3125,540.0893272,-167.2035139,1247.382168,-541.6217271,1621.800381
27.33333,546.610393,-168.2551921,1261.475978,-546.6821739,1639.90296
27.35417,551.1778937,-171.2915217,1273.647309,-553.7437281,1656.099515
27.375,556.6812248,-173.4225856,1286.785035,-559.9161965,1673.278646
27.39583,573.7109517,-164.0573091,1311.479212,-554.608235,1702.030138
27.41667,591.0868091,-154.3754607,1336.549079,-548.9993489,1731.172967
27.4375,625.0531939,-128.1321582,1378.238546,-526.8443991,1776.950787
27.45833,639.9078998,-121.0291338,1400.844933,-523.8448672,1803.660667
27.47917,649.431475,-119.2853768,1418.148327,-526.219497,1825.082447
27.5,654.2386781,-122.2856759,1430.763032,-533.3528382,1841.830194
27.52083,658.9550157,-125.4040827,1443.314114,-540.6187082,1858.52874
27.54167,664.7277832,-127.4928698,1456.948436,-546.8691509,1876.324717
27.5625,675.1135234,-124.9950719,1475.222119,-548.5469774,1898.774024
27.58333,684.2492251,-123.7732872,1492.271737,-551.5145673,1920.013017
27.60417,687.4588184,-128.5031817,1503.420818,-560.4473727,1935.365009
27.625,691.4333805,-132.4932827,1515.360044,-568.6537118,1951.520473
27.64583,697.5993368,-134.3167784,1529.515452,-574.7065679,1969.905242
27.66667,705.0939349,-134.8360426,1545.023912,-579.4681145,1989.655984
27.6875,702.7419892,-145.2258903,1550.709869,-594.1129705,1999.596949
27.70833,718.6288173,-137.4006411,1574.658276,-590.5552634,2027.812898
27.72917,721.5039169,-142.6104421,1585.618276,-600.0449522,2043.052786
27.75,726.0423745,-146.1798586,1598.264608,-607.906418,2059.991167
27.77083,730.2111251,-150.1416147,1610.563865,-616.1722044,2076.594455
27.79167,733.0943667,-155.4111782,1621.599912,-625.7576022,2091.946336
27.8125,738.3389415,-158.3413795,1635.019262,-633.0152685,2109.693152
27.83333,743.4274395,-161.4493073,1648.304186,-640.462122,2127.317001
27.85417,749.4953887,-163.5991188,1662.589896,-646.9621533,2145.952931
27.875,757.7323821,-163.6009121,1679.065676,-651.3252969,2166.790061
27.89583,771.0241849,-158.5686193,1700.616989,-650.6653246,2192.713694
27.91667,784.5329477,-153.3397924,1722.405688,-649.819631,2218.885526
27.9375,787.4149987,-158.7578116,1733.587809,-659.6314419,2234.461439
27.95833,829.3104642,-125.1822643,1783.803193,-630.4601932,2289.081122
27.97917,847.9742095,-114.8580041,1810.806423,-624.5505897,2320.499009
28,846.997649,-124.1933405,1818.188639,-638.3107948,2332.306093
28.02083,833.2332632,-146.3355221,1812.802049,-664.8879137,2331.35444
28.04167,820.0925229,-167.872812,1808.057858,-690.8700684,2331.055114
28.0625,808.125811,-188.2545655,1804.506188,-715.7064758,2331.958098
28.08333,772.6236804,-232.1899727,1777.437334,-764.1061901,2309.353551
28.10417,743.78662,-269.4782916,1757.051532,-805.8683349,2293.441575
28.125,715.5610732,-306.1701343,1737.292281,-847.041964,2278.16411
28.14583,700.6649421,-329.5455279,1730.875412,-874.9060079,2276.235892
28.16667,698.5700249,-340.1327134,1737.272763,-889.9887287,2287.128778
28.1875,697.6399787,-349.5667683,1744.846726,-903.924534,2299.204491
28.20833,700.0278984,-356.693278,1756.749075,-916.0876784,2316.143475
28.22917,699.5785515,-366.6555777,1765.812681,-931.085831,2330.242934
28.25,702.7442819,-372.9565772,1778.445141,-942.3982146,2347.886778
28.27083,708.5079997,-376.5305133,1793.546513,-950.9152061,2367.931205
28.29167,714.5353123,-379.7446023,1808.815227,-959.0213976,2388.092022
28.3125,724.5044139,-379.0491305,1828.057958,-963.2350889,2412.243917
28.33333,731.738466,-381.1204466,1844.597379,-970.2323693,2433.709301
28.35417,737.0172215,-385.1783172,1859.21276,-979.2327512,2453.267194
28.375,743.2300802,-388.3328714,1874.793032,-987.3461144,2473.806275
28.39583,760.9676115,-379.9930777,1901.928301,-983.9811824,2505.916405
28.41667,779.0495545,-371.3387436,1929.437853,-980.3175229,2538.416632
28.4375,813.7203101,-346.1250233,1973.565643,-960.1100548,2587.550675
