,totgen,coal,oil,biomass,IPP,alphacoal,alphaoil,alphabiomass,alphaIPP,,,,,,,,,,
57,2128.604411,296.2914416,301.1051598,1.150347609,502.9419239,0.139195165,0.141456608,0.000540423,0.23627778,,,,,,,,,,
58,2160.224978,311.6318476,301.0259028,0.513561609,500.2510139,0.144258978,0.13934933,0.000237735,0.231573572,,,,,,,,,,
59,2194.42266,327.3224867,302.3294928,-0.341936391,501.4191639,0.149161095,0.137771769,-0.000155821,0.228497077,,,,,,,,,,
60,2228.318443,359.6077458,300.2465358,-0.052195391,500.6151839,0.16138077,0.134741305,-2.34237E-05,0.224660522,,,,,,,,,,
61,2244.8736,372.7854086,300.3920398,1.428688609,500.4907939,0.166060757,0.133812452,0.000636423,0.222948318,,,,,,,,,,
62,2254.611027,380.6360133,301.6880278,1.403337609,498.7418039,0.16882558,0.133809346,0.00062243,0.221209689,,,,,,,,,,
63,2283.11753,383.7743089,301.5643318,1.297806609,502.7370739,0.168092226,0.132084454,0.000568436,0.220197632,,,,,,,,,,
64,2303.503762,386.8257918,300.4302108,1.615449609,502.1830139,0.167929308,0.130423147,0.000701301,0.218008332,,,,,,,,,,
65,2319.842436,390.9377477,324.0160968,1.408887609,502.5534739,0.168519095,0.139671597,0.00060732,0.216632589,,,,,,,,,,
66,2320.129547,399.6667097,335.6702648,1.472640609,505.4674739,0.172260515,0.14467738,0.000634723,0.217861746,,,,,,,,,,
67,2311.141533,407.1496566,333.8867898,2.431795609,504.7383439,0.176168206,0.144468344,0.001052205,0.218393524,,,,,,,,,,
68,2293.624172,408.7105089,331.5777768,2.748013609,507.0298639,0.178194193,0.144564999,0.00119811,0.221060569,,,,,,,,,,
69,2274.586797,411.040334,332.3588008,1.796659609,506.4336539,0.180709892,0.14611832,0.000789884,0.222648639,,,,,,,,,,
70,2252.099039,415.5655475,332.1176838,1.416837609,506.6066039,0.184523656,0.147470284,0.000629119,0.224948635,,,,,,,,,,
71,2268.232758,421.4233873,339.6608368,1.688803609,507.7440839,0.185793714,0.149746906,0.000744546,0.22385008,,,,,,,,,,
72,2263.423737,417.4386583,340.6210918,1.939317609,508.2583339,0.184427976,0.150489317,0.000856807,0.224552887,,,,,,,,,,
73,2346.921482,431.6966683,340.1654088,2.352591609,509.6563639,0.183941675,0.144941112,0.001002416,0.217159529,,,,,,,,,,
74,2394.246445,432.9469053,339.0829618,2.176631609,507.5964539,0.180828046,0.141624085,0.000909109,0.212006769,,,,,,,,,,
75,2539.068438,435.8644464,342.2254028,1.333883609,509.1256139,0.171663134,0.134783843,0.000525344,0.200516696,,,,,,,,,,
76,2699.54265,438.4162168,345.8635648,1.509543609,507.9473039,0.162403886,0.128119319,0.000559185,0.188160503,,,,,,,,,,
77,2765.815705,439.6864052,348.7343458,1.581397609,512.5642439,0.158971693,0.12608734,0.000571765,0.185321185,,,,,,,,,,
78,2766.118063,443.3218439,350.9096658,1.538495609,513.3653239,0.160268591,0.126859974,0.000556193,0.185590532,,,,,,,,,,
79,2723.040355,446.8051137,349.5922128,1.629250609,512.4575639,0.164083177,0.128383045,0.00059832,0.188193158,,,,,,,,,,
80,2670.594748,451.271733,349.0394638,1.837912609,516.4623939,0.16897799,0.130697278,0.000688203,0.19338853,,,,,,,,,,
81,2613.88209,457.9112855,347.2688278,1.985970609,514.8079339,0.175184369,0.132855583,0.000759778,0.196951475,,,,,,,,,,
82,2554.998728,469.6095266,347.1381278,2.084975609,515.9753639,0.183800298,0.135866262,0.000816038,0.201947405,,,,,,,,,,
83,2523.174061,481.5285978,342.6661488,1.816910609,508.2363439,0.190842402,0.135807574,0.000720089,0.201427381,,,,,,,,,,
84,2459.207219,482.8248176,347.4080888,1.778508609,508.5631539,0.196333523,0.141268327,0.000723204,0.206799634,,,,,,,,,,
85,2424.546717,523.1383032,348.6045058,1.598498609,507.6683039,0.215767467,0.143781311,0.000659298,0.209386893,,,,,,,,,,
86,2364.37012,540.2239105,348.5984648,1.517193609,508.2287739,0.22848534,0.147438196,0.00064169,0.214953137,,,,,,,,,,
87,2288.244399,537.6730445,348.7874628,1.355484609,510.6232839,0.234971861,0.152425791,0.000592369,0.223150676,,,,,,,,,,
88,2241.415145,522.3381764,347.9471078,1.261504609,511.2621639,0.233039461,0.155235459,0.000562816,0.228097934,,,,,,,,,,
89,2169.962909,507.6307677,348.4197788,1.314007609,510.5618139,0.233935228,0.160564855,0.000605544,0.235285964,,,,,,,,,,
90,2011.943313,494.1011921,349.3439158,0.683446609,511.1791639,0.245584052,0.173635069,0.000339695,0.254072349,,,,,,,,,,
91,1957.484534,457.0399932,349.9646468,-0.456843391,511.1207139,0.233483323,0.178782841,-0.000233383,0.261110984,,,,,,,,,,
92,1894.941349,426.6476506,352.9602398,-0.820351391,510.9225239,0.225150847,0.186264467,-0.000432917,0.269624453,,,,,,,,,,
93,1853.441853,396.8705987,356.8675298,-0.772198391,505.4787039,0.214126274,0.192543148,-0.000416629,0.272724339,,,,,,,,,,
94,1792.848166,380.4267305,291.1696428,-0.442667391,503.9590139,0.212191271,0.162406192,-0.000246907,0.281094084,,,,,,,,,,
95,1752.609477,376.7878347,291.3707528,0.020933609,503.7659939,0.214986761,0.166249673,1.19443E-05,0.287437675,,,,,,,,,,
96,1733.644469,374.3175595,280.6586598,0.266648609,501.0588139,0.215913681,0.161889398,0.000153808,0.289020513,,,,,,,,,,
97,1762.730185,375.1689907,295.762782,-1.624614895,552.4331005,0.212834042,0.167786757,-0.000921647,0.31339629,,,,,,,,,,
98,1691.53088,373.1868867,243.9603029,-0.204696426,500.5944983,0.220620794,0.144224564,-0.000121013,0.295941685,,,,,,,,,,
99,1677.383725,374.8235822,208.9834719,-0.715285192,500.4224195,0.223457267,0.124588947,-0.000426429,0.298335087,,,,,,,,,,
100,1658.940625,379.0619784,210.0904438,-0.891129948,501.10492,0.228496411,0.126641328,-0.000537168,0.302063204,,,,,,,,,,
101,1643.22547,383.5676737,210.4179672,-0.953076379,484.1878829,0.233423642,0.128051793,-0.000580003,0.294656997,,,,,,,,,,
102,1622.880173,392.0188532,216.8943737,-1.012202324,483.6361116,0.241557485,0.133647806,-0.000623707,0.29801098,,,,,,,,,,
103,1604.478888,397.7386696,218.0875136,-0.973536296,484.0958663,0.247892741,0.135924203,-0.000606762,0.301715323,,,,,,,,,,
104,1589.388953,401.5068666,218.4434663,-0.592518124,466.7156603,0.252617124,0.137438646,-0.000372796,0.293644711,,,,,,,,,,
105,1576.821798,406.2128352,218.2184779,-0.728575748,437.4833366,0.257614929,0.138391338,-0.000462053,0.277446277,,,,,,,,,,
106,1569.097155,422.447136,218.2380407,-0.270899785,437.7155388,0.269229432,0.139085104,-0.000172647,0.278960125,,,,,,,,,,
107,1558.793035,439.029499,218.9564354,-0.418057781,438.736043,0.281647075,0.140465367,-0.000268193,0.281458817,,,,,,,,,,
