,intensiyfunction,generation.MW.,,cemission
248,0.197654252,2293.385146,,453.2973258
249,0.197284799,2306.656384,,455.0682413
250,0.196100693,2338.276951,,458.5377316
251,0.195279876,2372.474633,,463.2965518
252,0.195554256,2406.370416,,470.5759767
253,0.195741218,2422.925573,,474.2664027
254,0.19591747,2432.663,,476.6011797
255,0.194572989,2461.169503,,478.8771072
256,0.193367376,2481.555735,,479.8519199
257,0.194968344,2497.894409,,487.0103361
258,0.19735608,2498.18152,,493.0313108
259,0.198789644,2489.193506,,494.8258918
260,0.200611722,2471.676145,,495.8472087
261,0.202658845,2452.63877,,497.0489395
262,0.20521414,2430.151012,,498.7013507
263,0.205497602,2446.284731,,502.705645
264,0.205948267,2441.47571,,502.8176914
265,0.200760095,2524.973455,,506.9139115
266,0.197144474,2572.298418,,507.1144174
267,0.187509253,2717.120411,,509.4852173
268,0.17767911,2877.594623,,511.2884521
269,0.174589237,2943.867678,,513.9676127
270,0.175304091,2944.170036,,516.1250523
271,0.178222977,2901.092328,,517.0413115
272,0.182367563,2848.646721,,519.5007611
273,0.186554116,2791.934063,,520.8467909
274,0.191860826,2733.050701,,524.365365
275,0.194297312,2701.226034,,524.8409562
276,0.19980944,2637.259192,,526.9492812
277,0.20622554,2602.59869,,536.7223196
278,0.212918732,2542.422093,,541.329289
279,0.219756985,2466.296372,,541.9858546
280,0.222825513,2419.467118,,539.1190026
281,0.228444077,2348.014882,,536.3900923
282,0.243980206,2189.995286,,534.3155008
283,0.246636761,2135.536507,,526.701806
284,0.251390123,2072.993322,,521.1300469
285,0.253360315,2031.493826,,514.699916
286,0.251664618,1970.900139,,496.0058303
287,0.256816304,1930.66145,,495.8253377
288,0.257769938,1911.696442,,492.7778743
